First,Last,Nickname,Ht,Wt,Reach,Stance,W,L,D,Belt,SLpM,Str. Acc.,SApM,Str. Def,,TD Avg.,TD Acc.,TD Def.,Sub. Avg.
Megan,Anderson,,"6' 0""",145 lbs.,"72.0""",Orthodox,11,5,0,,1.76,46%,3.35,37%,N/A,0.52,25%,53%,0.5
Jessica,Andrade,Bate Estaca,"5' 1""",115 lbs.,"62.0""",Orthodox,26,12,0,,6.62,50%,5.37,55%,N/A,2.37,55%,72%,0.3
Corey,Anderson,Overtime,"6' 3""",205 lbs.,"79.0""",Orthodox,14,5,0,,4.43,46%,2.22,59%,N/A,4.89,50%,83%,0.0
Tatsuya,Ando,Kirinji,"5' 4""",145 lbs.,"68.0""",Southpaw,14,4,1,,0.93,19%,4.93,50%,N/A,0.00,0%,0%,0.0
Derek,Anderson,Barbaric,"6' 0""",155 lbs.,--,,14,3,0,,3.97,37%,3.08,61%,N/A,0.34,14%,60%,0.0
Andy,Anderson,The Hammer,"5' 6""",240 lbs.,--,,0,1,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
Lowell,Anderson,,"5' 6""",160 lbs.,--,Orthodox,0,1,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
Matt,Andersen,,"6' 2""",230 lbs.,--,Southpaw,14,8,1,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
Karl,Amoussou,The Psycho,"5' 11""",185 lbs.,--,Orthodox,27,7,2,,1.47,34%,2.67,54%,N/A,0.00,0%,25%,1.0
Eryk,Anders,Ya Boi,"6' 1""",185 lbs.,"75.0""",Southpaw,16,8,0,,3.41,47%,4.17,50%,N/A,1.79,26%,79%,0.1
Bertrand,Amoussou,,"5' 8""",190 lbs.,--,Orthodox,1,1,0,,6.75,39%,2.01,83%,N/A,0.00,0%,0%,0.0
Hamid,Amiri,The Storm,--,145 lbs.,--,,9,0,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
Hyder,Amil,The Hurricane,"5' 9""",145 lbs.,"70.0""",Switch,9,0,0,,4.73,54%,2.16,61%,N/A,0.68,33%,78%,2.0
