Event,W/L,Fighter 1,Fighter 2,Kd,Str,Td,Sub,Weight class,Method,Round,Time
UFC Fight Night: Holm vs. Vieira,,Chase Hooper,Felipe Colares,0,60,4,3,Featherweight,KO/TKO,3,3:00
UFC Fight Night: Holm vs. Vieira,,Sam Hughes,Elise Reed,0,43,4,0,Women's Strawweight,KO/TKO,3,3:52
UFC Fight Night: Blachowicz vs. Rakic,,Virna Jandiroba,Angela Hill,0,14,3,0,Women's Strawweight,U-DEC,3,5:00
UFC Fight Night: Blachowicz vs. Rakic,,Tatsuro Taira,Carlos Candelario,1,57,1,3,Flyweight,U-DEC,3,5:00
UFC Fight Night: Blachowicz vs. Rakic,,Andre Petroski,Nick Maximov,0,1,0,1,Middleweight,SUB,1,1:16
UFC 274: Oliveira vs. Gaethje,,,,,,,,,,,
UFC 274: Oliveira vs. Gaethje,,Charles Oliveira,Justin Gaethje,1,30,0,2,Lightweight,SUB,1,3:22
UFC 274: Oliveira vs. Gaethje,,Carla Esparza,Rose Namajunas,0,30,2,0,Women's Strawweight,S-DEC,5,5:00
UFC 274: Oliveira vs. Gaethje,,Michael Chandler,Tony Ferguson,1,27,1,0,Lightweight,KO/TKO,2,0:17
UFC 274: Oliveira vs. Gaethje,,Ovince Saint Preux,Mauricio Rua,0,62,0,0,Light Heavyweight,S-DEC,3,5:00
UFC 274: Oliveira vs. Gaethje,,Randy Brown,Khaos Williams,0,93,0,0,Welterweight,S-DEC,3,5:00
UFC 274: Oliveira vs. Gaethje,,Francisco Trinaldo,Danny Roberts,0,80,0,1,Welterweight,U-DEC,3,5:00
UFC 274: Oliveira vs. Gaethje,,Macy Chiasson,Norma Dumont,0,32,6,0,Women's Featherweight,S-DEC,3,5:00
UFC 274: Oliveira vs. Gaethje,,Brandon Royval,Matt Schnell,0,14,0,1,Flyweight,SUB,1,2:14
UFC 274: Oliveira vs. Gaethje,,Blagoy Ivanov,Marcos Rogerio de Lima,0,62,0,0,Heavyweight,U-DEC,3,5:00
UFC 274: Oliveira vs. Gaethje,,Andre Fialho,Cameron VanCamp,1,17,0,0,Welterweight,KO/TKO,1,2:35
UFC 274: Oliveira vs. Gaethje,,Tracy Cortez,Melissa Gatto,0,36,2,1,Women's Flyweight,U-DEC,3,5:00
UFC 274: Oliveira vs. Gaethje,,CJ Vergara,Kleydson Rodrigues,0,71,0,0,Flyweight,S-DEC,3,5:00
UFC 274: Oliveira vs. Gaethje,,Loopy Godinez,Ariane Carnelossi,0,46,8,2,Women's Strawweight,U-DEC,3,5:00
UFC 274: Oliveira vs. Gaethje,,Journey Newson,Fernie Garcia,0,57,2,0,Bantamweight,U-DEC,3,5:00
UFC 275: Teixeira vs. Prochazka,,,,,,,,,,,
UFC 275: Teixeira vs. Prochazka,,Jiri Prochazka,Glover Teixeira,0,120,0,1,Light Heavyweight,SUB,5,4:32
UFC 275: Teixeira vs. Prochazka,,Valentina Shevchenko,Taila Santos,0,77,3,1,Women's Flyweight,S-DEC,5,5:00
UFC 275: Teixeira vs. Prochazka,,Zhang Weili,Joanna Jedrzejczyk,1,69,3,0,Women's Strawweight,KO/TKO,2,2:28
UFC 275: Teixeira vs. Prochazka,,Jake Matthews,Andre Fialho,1,47,0,0,Welterweight,KO/TKO,2,2:24
UFC 275: Teixeira vs. Prochazka,,Jack Della Maddalena,Ramazan Emeev,1,18,0,0,Welterweight,KO/TKO,1,2:32
UFC 275: Teixeira vs. Prochazka,,Josh Culibao,SeungWoo Choi,2,51,0,0,Featherweight,S-DEC,3,5:00
UFC 275: Teixeira vs. Prochazka,,Maheshate,Steve Garcia,2,7,0,0,Lightweight,KO/TKO,1,1:14
UFC 275: Teixeira vs. Prochazka,,Brendan Allen,Jacob Malkoun,0,45,2,0,Middleweight,U-DEC,3,5:00
UFC 275: Teixeira vs. Prochazka,,Kyung Ho Kang,Batgerel Danaa,0,100,0,0,Bantamweight,U-DEC,3,5:00
UFC 275: Teixeira vs. Prochazka,,Silvana Gomez Juarez,Liang Na,1,8,0,0,Women's Strawweight,KO/TKO,1,1:22
UFC 275: Teixeira vs. Prochazka,,Joselyne Edwards,Ramona Pascual,0,164,0,0,Women's Featherweight,U-DEC,3,5:00
UFC 276: Adesanya vs. Cannonier,,,,,,,,,,,
UFC 276: Adesanya vs. Cannonier,,Israel Adesanya,Jared Cannonier,0,116,0,0,Middleweight,U-DEC,5,5:00
UFC 276: Adesanya vs. Cannonier,,Alexander Volkanovski,Max Holloway,0,199,0,0,Featherweight,U-DEC,5,5:00
UFC 276: Adesanya vs. Cannonier,,Alex Pereira,Sean Strickland,1,25,0,0,Middleweight,KO/TKO,1,2:36
UFC 276: Adesanya vs. Cannonier,,Bryan Barberena,Robbie Lawler,0,147,0,0,Welterweight,KO/TKO,2,4:47
UFC 276: Adesanya vs. Cannonier,,Pedro Munhoz,Sean O'Malley,0,26,0,0,Bantamweight,CNC,2,3:09
UFC 276: Adesanya vs. Cannonier,,Jalin Turner,Brad Riddell,0,3,0,1,Lightweight,SUB,1,0:45
UFC 276: Adesanya vs. Cannonier,,Jim Miller,Donald Cerrone,0,24,1,1,Welterweight,SUB,2,1:32
UFC 276: Adesanya vs. Cannonier,,Ian Machado Garry,Gabe Green,1,116,1,0,Welterweight,U-DEC,3,5:00
UFC 276: Adesanya vs. Cannonier,,Dricus Du Plessis,Brad Tavares,0,113,0,0,Middleweight,U-DEC,3,5:00
UFC 276: Adesanya vs. Cannonier,,Andre Muniz,Uriah Hall,0,17,4,0,Middleweight,U-DEC,3,5:00
UFC 276: Adesanya vs. Cannonier,,Maycee Barber,Jessica Eye,0,63,0,0,Women's Flyweight,U-DEC,3,5:00
UFC 276: Adesanya vs. Cannonier,,Julija Stoliarenko,Jessica-Rose Clark,0,6,1,1,Women's Bantamweight,SUB,1,0:42
UFC Fight Night: Volkov vs. Rozenstruik,,,,,,,,,,,
UFC Fight Night: Volkov vs. Rozenstruik,,Alexander Volkov,Jairzinho Rozenstruik,0,21,0,0,Heavyweight,KO/TKO,1,2:12
UFC Fight Night: Volkov vs. Rozenstruik,,Movsar Evloev,Dan Ige,0,68,9,0,Featherweight,U-DEC,3,5:00
UFC Fight Night: Volkov vs. Rozenstruik,,Lucas Almeida,Michael Trizano,2,75,0,0,Featherweight,KO/TKO,3,0:55
UFC Fight Night: Volkov vs. Rozenstruik,,Karine Silva,Poliana Botelho,0,17,1,1,Women's Flyweight,SUB,1,4:55
UFC Fight Night: Volkov vs. Rozenstruik,,Ode Osbourne,Zarrukh Adashev,1,7,0,0,Flyweight,KO/TKO,1,1:01
UFC Fight Night: Volkov vs. Rozenstruik,,Alonzo Menifield,Askar Mozharov,0,19,2,0,Light Heavyweight,KO/TKO,1,4:40
UFC Fight Night: Volkov vs. Rozenstruik,,Karolina Kowalkiewicz,Felice Herrig,0,82,0,2,Women's Strawweight,SUB,2,4:01
UFC Fight Night: Volkov vs. Rozenstruik,,Joe Solecki,Alex Da Silva,0,33,1,3,Lightweight,M-DEC,3,5:00
UFC Fight Night: Volkov vs. Rozenstruik,,Damon Jackson,Dan Argueta,0,32,2,1,Featherweight,U-DEC,3,5:00
UFC Fight Night: Volkov vs. Rozenstruik,,Benoit Saint Denis,Niklas Stolze,0,8,3,2,Lightweight,SUB,2,1:32
UFC Fight Night: Volkov vs. Rozenstruik,,Tony Gravely,Johnny Munoz,1,5,0,0,Bantamweight,KO/TKO,1,1:08
UFC Fight Night: Volkov vs. Rozenstruik,,Jeff Molina,Zhalgas Zhumagulov,0,56,0,0,Flyweight,S-DEC,3,5:00
UFC Fight Night: Volkov vs. Rozenstruik,,Rinat Fakhretdinov,Andreas Michailidis,0,45,5,0,Welterweight,U-DEC,3,5:00
UFC Fight Night: Volkov vs. Rozenstruik,,Erin Blanchfield,JJ Aldrich,0,48,0,1,Women's Flyweight,SUB,2,2:38
UFC Fight Night: Tsarukyan vs. Gamrot,,,,,,,,,,,
UFC Fight Night: Tsarukyan vs. Gamrot,,Mateusz Gamrot,Arman Tsarukyan,0,81,6,0,Lightweight,U-DEC,5,5:00
UFC Fight Night: Tsarukyan vs. Gamrot,,Shavkat Rakhmonov,Neil Magny,0,19,2,1,Welterweight,SUB,2,4:58
UFC Fight Night: Tsarukyan vs. Gamrot,,Josh Parisian,Alan Baudot,0,42,3,0,Heavyweight,KO/TKO,2,3:04
UFC Fight Night: Tsarukyan vs. Gamrot,,Thiago Moises,Christos Giagos,0,3,1,1,Lightweight,SUB,1,3:05
UFC Fight Night: Tsarukyan vs. Gamrot,,Umar Nurmagomedov,Nate Maness,0,74,3,0,Bantamweight,U-DEC,3,5:00
UFC Fight Night: Tsarukyan vs. Gamrot,,Chris Curtis,Rodolfo Vieira,0,109,0,0,Middleweight,U-DEC,3,5:00
UFC Fight Night: Tsarukyan vs. Gamrot,,Carlos Ulberg,Tafon Nchukwi,1,15,0,0,Light Heavyweight,KO/TKO,1,1:15
UFC Fight Night: Tsarukyan vs. Gamrot,,Shayilan Nuerdanbieke,TJ Brown,1,47,3,0,Featherweight,U-DEC,3,5:00
UFC Fight Night: Tsarukyan vs. Gamrot,,Sergey Morozov,Raulian Paiva,0,68,2,0,Bantamweight,U-DEC,3,5:00
UFC Fight Night: Tsarukyan vs. Gamrot,,Cody Durden,JP Buys,1,23,0,0,Flyweight,KO/TKO,1,1:08
UFC Fight Night: Tsarukyan vs. Gamrot,,Mario Bautista,Brian Kelleher,0,6,2,1,Bantamweight,SUB,1,2:27
UFC Fight Night: Tsarukyan vs. Gamrot,,Vanessa Demopoulos,Jinh Yu Frey,0,66,1,0,Women's Strawweight,S-DEC,3,5:00
UFC Fight Night: Ortega vs. Rodriguez,,,,,,,,,,,
UFC Fight Night: Ortega vs. Rodriguez,,Yair Rodriguez,Brian Ortega,0,23,0,0,Featherweight,KO/TKO,1,4:11
UFC Fight Night: Ortega vs. Rodriguez,,Amanda Lemos,Michelle Waterson-Gomez,0,20,0,1,Women's Strawweight,SUB,2,1:48
UFC Fight Night: Ortega vs. Rodriguez,,Li Jingliang,Muslim Salikhov,1,38,1,0,Welterweight,KO/TKO,2,4:38
UFC Fight Night: Ortega vs. Rodriguez,,Matt Schnell,Sumudaerji,0,47,2,2,Flyweight,SUB,2,4:24
UFC Fight Night: Ortega vs. Rodriguez,,Shane Burgos,Charles Jourdain,0,42,2,3,Featherweight,M-DEC,3,5:00
UFC Fight Night: Ortega vs. Rodriguez,,Lauren Murphy,Miesha Tate,0,102,2,0,Women's Flyweight,U-DEC,3,5:00
UFC Fight Night: Ortega vs. Rodriguez,,Punahele Soriano,Dalcha Lungiambula,1,17,0,0,Middleweight,KO/TKO,2,0:28
UFC Fight Night: Kattar vs. Emmett,,,,,,,,,,,
UFC Fight Night: Kattar vs. Emmett,,Josh Emmett,Calvin Kattar,0,107,0,0,Featherweight,S-DEC,5,5:00
UFC Fight Night: Kattar vs. Emmett,,Kevin Holland,Tim Means,0,36,0,1,Welterweight,SUB,2,1:28
UFC Fight Night: Kattar vs. Emmett,,Joaquin Buckley,Albert Duraev,2,27,0,0,Middleweight,KO/TKO,2,5:00
UFC Fight Night: Kattar vs. Emmett,,Damir Ismagulov,Guram Kutateladze,0,79,0,0,Lightweight,S-DEC,3,5:00
UFC Fight Night: Kattar vs. Emmett,,Gregory Rodrigues,Julian Marquez,3,49,0,0,Middleweight,KO/TKO,1,3:18
UFC Fight Night: Kattar vs. Emmett,,Adrian Yanez,Tony Kelley,1,35,0,0,Bantamweight,KO/TKO,1,3:49
UFC Fight Night: Kattar vs. Emmett,,Natalia Silva,Jasmine Jasudavicius,0,96,2,0,Women's Flyweight,U-DEC,3,5:00
UFC Fight Night: Ortega vs. Rodriguez,,Ricky Simon,Jack Shore,1,25,2,1,Bantamweight,SUB,2,3:28
UFC Fight Night: Ortega vs. Rodriguez,,Bill Algeo,Herbert Burns,0,28,1,0,Featherweight,KO/TKO,2,1:50
UFC Fight Night: Ortega vs. Rodriguez,,Dustin Jacoby,Da Woon Jung,1,14,0,0,Light Heavyweight,KO/TKO,1,3:13
UFC Fight Night: Ortega vs. Rodriguez,,Dustin Stoltzfus,Dwight Grant,0,49,2,0,Middleweight,U-DEC,3,5:00
UFC Fight Night: Ortega vs. Rodriguez,,Emily Ducote,Jessica Penne,0,116,0,0,Women's Strawweight,U-DEC,3,5:00
UFC Fight Night: Kattar vs. Emmett,,Jeremiah Wells,Court McGee,1,7,0,0,Welterweight,KO/TKO,1,1:34
UFC Fight Night: Kattar vs. Emmett,,Ricardo Ramos,Danny Chavez,1,4,0,0,Featherweight,KO/TKO,1,1:12
UFC Fight Night: Kattar vs. Emmett,,Maria Oliveira,Gloria de Paula,0,96,2,0,Women's Strawweight,S-DEC,3,5:00
UFC Fight Night: Kattar vs. Emmett,,Cody Stamann,Eddie Wineland,1,27,0,0,Bantamweight,KO/TKO,1,0:59
UFC Fight Night: Kattar vs. Emmett,,Phil Hawes,Deron Winn,1,118,1,0,Middleweight,KO/TKO,2,4:25
UFC Fight Night: Kattar vs. Emmett,,Roman Dolidze,Kyle Daukaus,2,8,0,0,Middleweight,KO/TKO,1,1:13
UFC Fight Night: Dos Anjos vs. Fiziev,,,,,,,,,,,
UFC Fight Night: Dos Anjos vs. Fiziev,,Rafael Fiziev,Rafael Dos Anjos,1,64,0,0,Lightweight,KO/TKO,5,0:18
UFC Fight Night: Dos Anjos vs. Fiziev,,Caio Borralho,Armen Petrosyan,0,12,4,0,Middleweight,U-DEC,3,5:00
UFC Fight Night: Dos Anjos vs. Fiziev,,Said Nurmagomedov,Douglas Silva de Andrade,0,42,1,0,Bantamweight,U-DEC,3,5:00
UFC Fight Night: Dos Anjos vs. Fiziev,,Chase Sherman,Jared Vanderaa,1,137,0,0,Heavyweight,KO/TKO,3,3:10
UFC Fight Night: Dos Anjos vs. Fiziev,,Aiemann Zahabi,Ricky Turcios,0,54,0,0,Bantamweight,U-DEC,3,5:00
UFC Fight Night: Dos Anjos vs. Fiziev,,Jamie Mullarkey,Michael Johnson,0,96,0,0,Lightweight,S-DEC,3,5:00
UFC Fight Night: Dos Anjos vs. Fiziev,,Cody Brundage,Tresean Gore,1,15,1,0,Middleweight,KO/TKO,1,3:50
UFC Fight Night: Dos Anjos vs. Fiziev,,Antonina Shevchenko,Cortney Casey,0,55,0,0,Women's Flyweight,S-DEC,3,5:00
UFC Fight Night: Dos Anjos vs. Fiziev,,David Onama,Garrett Armfield,0,29,2,1,Featherweight,SUB,2,3:13
UFC Fight Night: Dos Anjos vs. Fiziev,,Kennedy Nzechukwu,Karl Roberson,0,20,5,1,Light Heavyweight,KO/TKO,3,2:19
UFC Fight Night: Dos Anjos vs. Fiziev,,Saidyokub Kakhramonov,Ronnie Lawrence,0,32,10,0,Bantamweight,U-DEC,3,5:00
UFC Fight Night: Santos vs. Hill,,,,,,,,,,,
UFC Fight Night: Santos vs. Hill,,Jamahal Hill,Thiago Santos,0,89,0,0,Light Heavyweight,KO/TKO,4,2:31
UFC Fight Night: Santos vs. Hill,,Geoff Neal,Vicente Luque,2,121,1,0,Welterweight,KO/TKO,3,2:01
UFC Fight Night: Santos vs. Hill,,Mohammed Usman,Zac Pauga,1,12,0,0,Heavyweight,KO/TKO,2,0:36
UFC Fight Night: Santos vs. Hill,,Juliana Miller,Brogan Walker,0,54,4,1,Women's Flyweight,KO/TKO,3,3:57
UFC Fight Night: Santos vs. Hill,,Serghei Spivac,Augusto Sakai,0,33,6,1,Heavyweight,KO/TKO,2,3:42
UFC Fight Night: Santos vs. Hill,,Terrance McKinney,Erick Gonzalez,0,18,1,1,Lightweight,SUB,1,2:17
UFC Fight Night: Santos vs. Hill,,Michal Oleksiejczuk,Sam Alvey,2,22,0,0,Middleweight,KO/TKO,1,1:56
UFC 277: Pena vs. Nunes 2,,,,,,,,,,,
UFC 277: Pena vs. Nunes 2,,Amanda Nunes,Julianna Pena,3,85,6,1,Women's Bantamweight,U-DEC,5,5:00
UFC 277: Pena vs. Nunes 2,,Brandon Moreno,Kai Kara-France,1,58,0,0,Flyweight,KO/TKO,3,4:34
UFC 277: Pena vs. Nunes 2,,Sergei Pavlovich,Derrick Lewis,1,15,0,0,Heavyweight,KO/TKO,1,0:55
UFC 277: Pena vs. Nunes 2,,Alexandre Pantoja,Alex Perez,0,8,1,1,Flyweight,SUB,1,1:31
UFC 277: Pena vs. Nunes 2,,Magomed Ankalaev,Anthony Smith,0,46,0,0,Light Heavyweight,KO/TKO,2,3:09
UFC 277: Pena vs. Nunes 2,,Alex Morono,Matthew Semelsberger,0,106,0,0,Welterweight,U-DEC,3,5:00
UFC 277: Pena vs. Nunes 2,,Drew Dober,Rafael Alves,1,62,0,0,Lightweight,KO/TKO,3,1:30
UFC Fight Night: Santos vs. Hill,,Bryan Battle,Takashi Sato,1,7,0,0,Welterweight,KO/TKO,1,0:44
UFC Fight Night: Santos vs. Hill,,Cory McKenna,Miranda Granger,0,13,3,2,Women's Strawweight,SUB,2,1:03
UFC Fight Night: Santos vs. Hill,,Mayra Bueno Silva,Stephanie Egger,0,4,0,1,Women's Bantamweight,SUB,1,1:17
UFC 277: Pena vs. Nunes 2,,Don'Tale Mayes,Hamdy Abdelwahab,0,47,0,0,Heavyweight,Overturned,3,5:00
UFC 277: Pena vs. Nunes 2,,Drakkar Klose,Rafa Garcia,0,61,2,0,Lightweight,U-DEC,3,5:00
UFC 277: Pena vs. Nunes 2,,Michael Morales,Adam Fugitt,2,83,0,0,Welterweight,KO/TKO,3,1:09
UFC 277: Pena vs. Nunes 2,,Joselyne Edwards,Ji Yeon Kim,0,101,1,0,Women's Bantamweight,S-DEC,3,5:00
UFC 277: Pena vs. Nunes 2,,Nicolae Negumereanu,Ihor Potieria,0,51,2,0,Light Heavyweight,KO/TKO,2,3:33
UFC 277: Pena vs. Nunes 2,,Orion Cosce,Blood Diamond,0,25,3,0,Welterweight,U-DEC,3,5:00
UFC Fight Night: Blaydes vs. Aspinall,,,,,,,,,,,
UFC Fight Night: Blaydes vs. Aspinall,,Curtis Blaydes,Tom Aspinall,0,4,0,0,Heavyweight,KO/TKO,1,0:15
UFC Fight Night: Blaydes vs. Aspinall,,Jack Hermansson,Chris Curtis,0,100,0,0,Middleweight,U-DEC,3,5:00
UFC Fight Night: Blaydes vs. Aspinall,,Paddy Pimblett,Jordan Leavitt,0,17,1,4,Lightweight,SUB,2,2:46
UFC Fight Night: Blaydes vs. Aspinall,,Nikita Krylov,Alexander Gustafsson,2,26,0,0,Light Heavyweight,KO/TKO,1,1:07
UFC Fight Night: Blaydes vs. Aspinall,,Molly McCann,Hannah Goldy,1,24,0,0,Women's Flyweight,KO/TKO,1,3:52
UFC Fight Night: Blaydes vs. Aspinall,,Volkan Oezdemir,Paul Craig,0,72,1,0,Light Heavyweight,U-DEC,3,5:00
UFC Fight Night: Blaydes vs. Aspinall,,Ludovit Klein,Mason Jones,1,50,0,0,Lightweight,U-DEC,3,5:00
UFC Fight Night: Blaydes vs. Aspinall,,Marc Diakiese,Damir Hadzovic,0,13,8,0,Lightweight,U-DEC,3,5:00
UFC Fight Night: Blaydes vs. Aspinall,,Nathaniel Wood,Charles Rosa,0,97,1,0,Featherweight,U-DEC,3,5:00
UFC Fight Night: Blaydes vs. Aspinall,,Jonathan Pearce,Makwan Amirkhani,0,90,4,0,Featherweight,KO/TKO,2,4:10
UFC Fight Night: Blaydes vs. Aspinall,,Muhammad Mokaev,Charles Johnson,0,12,12,0,Flyweight,U-DEC,3,5:00
UFC Fight Night: Blaydes vs. Aspinall,,Jai Herbert,Kyle Nelson,0,36,0,0,Lightweight,U-DEC,3,5:00
UFC Fight Night: Blaydes vs. Aspinall,,Victoria Leonardo,Mandy Bohm,0,39,2,0,Women's Flyweight,U-DEC,3,5:00
UFC Fight Night: Blaydes vs. Aspinall,,Nicolas Dalby,Claudio Silva,0,45,1,1,Welterweight,U-DEC,3,5:00
UFC Fight Night: Vera vs. Cruz,,,,,,,,,,,
UFC Fight Night: Vera vs. Cruz,,Marlon Vera,Dominick Cruz,3,61,0,0,Bantamweight,KO/TKO,4,2:17
UFC Fight Night: Vera vs. Cruz,,Nate Landwehr,David Onama,0,91,3,2,Featherweight,M-DEC,3,5:00
UFC Fight Night: Vera vs. Cruz,,Yazmin Jauregui,Iasmin Lucindo,0,86,0,0,Women's Strawweight,U-DEC,3,5:00
UFC Fight Night: Vera vs. Cruz,,Azamat Murzakanov,Devin Clark,1,79,0,0,Light Heavyweight,KO/TKO,3,1:18
UFC Fight Night: Vera vs. Cruz,,Priscila Cachoeira,Ariane da Silva,1,20,0,0,Women's Bantamweight,KO/TKO,1,1:05
UFC Fight Night: Vera vs. Cruz,,Gerald Meerschaert,Bruno Silva,1,46,1,1,Middleweight,SUB,3,1:39
UFC Fight Night: Vera vs. Cruz,,Angela Hill,Loopy Godinez,0,85,1,0,Catch Weight,U-DEC,3,5:00
UFC Fight Night: Vera vs. Cruz,,Martin Buday,Lukasz Brzeski,0,66,0,0,Heavyweight,S-DEC,3,5:00
UFC Fight Night: Vera vs. Cruz,,Nina Nunes,Cynthia Calvillo,0,39,0,0,Women's Flyweight,S-DEC,3,5:00
UFC Fight Night: Vera vs. Cruz,,Gabriel Benitez,Charlie Ontiveros,0,37,1,0,Lightweight,KO/TKO,1,3:33
UFC Fight Night: Vera vs. Cruz,,Tyson Nam,Ode Osbourne,1,13,0,0,Flyweight,KO/TKO,1,2:59
UFC Fight Night: Vera vs. Cruz,,Josh Quinlan,Jason Witt,1,3,0,0,Catch Weight,KO/TKO,1,2:09
UFC Fight Night: Vera vs. Cruz,,Youssef Zalal,Da'Mon Blackshear,0,63,1,1,Bantamweight,M-DEC,3,5:00
UFC 278: Usman vs. Edwards,,,,,,,,,,,
UFC 278: Usman vs. Edwards,,Leon Edwards,Kamaru Usman,1,55,1,1,Welterweight,KO/TKO,5,4:04
UFC 278: Usman vs. Edwards,,Paulo Costa,Luke Rockhold,0,73,2,0,Middleweight,U-DEC,3,5:00
UFC 278: Usman vs. Edwards,,Merab Dvalishvili,Jose Aldo,0,57,0,0,Bantamweight,U-DEC,3,5:00
UFC 278: Usman vs. Edwards,,Lucie Pudilova,Wu Yanan,0,39,2,1,Women's Bantamweight,KO/TKO,2,4:04
UFC 278: Usman vs. Edwards,,Tyson Pedro,Harry Hunsucker,1,6,0,0,Light Heavyweight,KO/TKO,1,1:05
UFC 278: Usman vs. Edwards,,Marcin Tybura,Alexandr Romanov,0,47,0,0,Heavyweight,M-DEC,3,5:00
UFC 278: Usman vs. Edwards,,Jared Gordon,Leonardo Santos,0,116,0,0,Lightweight,U-DEC,3,5:00
UFC 278: Usman vs. Edwards,,Sean Woodson,Luis Saldana,0,73,0,1,Featherweight,S-DEC,3,5:00
UFC 278: Usman vs. Edwards,,Ange Loosa,AJ Fletcher,0,129,2,0,Welterweight,U-DEC,3,5:00
UFC 278: Usman vs. Edwards,,Amir Albazi,Francisco Figueiredo,0,12,2,1,Flyweight,SUB,1,4:34
UFC 278: Usman vs. Edwards,,Aoriqileng,Jay Perrin,0,72,0,0,Bantamweight,U-DEC,3,5:00
UFC 278: Usman vs. Edwards,,Victor Altamirano,Daniel Lacerda,1,58,0,0,Flyweight,KO/TKO,1,3:39
UFC Fight Night: Grasso vs. Araujo,,,,,,,,,,,
UFC Fight Night: Grasso vs. Araujo,,Alexa Grasso,Viviane Araujo,0,153,0,0,Women's Flyweight,U-DEC,5,5:00
UFC Fight Night: Grasso vs. Araujo,,Jonathan Martinez,Cub Swanson,2,62,0,0,Bantamweight,KO/TKO,2,4:19
UFC Fight Night: Grasso vs. Araujo,,Dusko Todorovic,Jordan Wright,0,61,0,0,Middleweight,KO/TKO,2,3:12
UFC Fight Night: Grasso vs. Araujo,,Raphael Assuncao,Victor Henry,0,60,2,0,Bantamweight,U-DEC,3,5:00
UFC Fight Night: Grasso vs. Araujo,,Alonzo Menifield,Misha Cirkunov,1,8,0,0,Light Heavyweight,KO/TKO,1,1:28
UFC Fight Night: Grasso vs. Araujo,,Mana Martinez,Brandon Davis,2,87,1,0,Bantamweight,S-DEC,3,5:00
UFC Fight Night: Grasso vs. Araujo,,Jacob Malkoun,Nick Maximov,0,83,9,0,Middleweight,U-DEC,3,5:00
UFC Fight Night: Grasso vs. Araujo,,Joanderson Brito,Lucas Alexander,0,4,2,1,Featherweight,SUB,1,2:02
UFC Fight Night: Grasso vs. Araujo,,Piera Rodriguez,Sam Hughes,0,83,5,0,Women's Strawweight,U-DEC,3,5:00
UFC Fight Night: Grasso vs. Araujo,,Tatsuro Taira,CJ Vergara,0,22,3,2,Flyweight,SUB,2,4:19
UFC Fight Night: Grasso vs. Araujo,,Pete Rodriguez,Mike Jackson,1,22,0,0,Welterweight,KO/TKO,1,1:33
UFC 279: Diaz vs. Ferguson,,,,,,,,,,,
UFC 279: Diaz vs. Ferguson,,Nate Diaz,Tony Ferguson,0,101,0,1,Welterweight,SUB,4,2:52
UFC 279: Diaz vs. Ferguson,,Khamzat Chimaev,Kevin Holland,0,0,2,2,Catch Weight,SUB,1,2:13
UFC 279: Diaz vs. Ferguson,,Daniel Rodriguez,Li Jingliang,0,88,0,0,Catch Weight,S-DEC,3,5:00
UFC 279: Diaz vs. Ferguson,,Irene Aldana,Macy Chiasson,1,37,0,2,Catch Weight,KO/TKO,3,2:21
UFC 279: Diaz vs. Ferguson,,Johnny Walker,Ion Cutelaba,0,3,1,3,Light Heavyweight,SUB,1,4:37
UFC 279: Diaz vs. Ferguson,,Julian Erosa,Hakeem Dawodu,0,92,2,0,Featherweight,U-DEC,3,5:00
UFC 279: Diaz vs. Ferguson,,Jailton Almeida,Anton Turkalj,0,17,3,2,Catch Weight,SUB,1,4:27
UFC 279: Diaz vs. Ferguson,,Denis Tiuliulin,Jamie Pickett,2,73,0,0,Middleweight,KO/TKO,2,4:52
UFC 279: Diaz vs. Ferguson,,Chris Barnett,Jake Collier,0,54,0,0,Heavyweight,KO/TKO,2,2:24
UFC 279: Diaz vs. Ferguson,,Norma Dumont,Danyelle Wolf,1,52,2,0,Women's Featherweight,U-DEC,3,5:00
UFC 279: Diaz vs. Ferguson,,Alatengheili,Chad Anheliger,0,49,2,0,Bantamweight,U-DEC,3,5:00
UFC 279: Diaz vs. Ferguson,,Elise Reed,Melissa Martinez,1,38,3,0,Women's Strawweight,U-DEC,3,5:00
UFC 279: Diaz vs. Ferguson,,Yohan Lainesse,Darian Weeks,0,23,0,0,Welterweight,S-DEC,3,5:00
UFC Fight Night: Gane vs. Tuivasa,,,,,,,,,,,
UFC Fight Night: Gane vs. Tuivasa,,Ciryl Gane,Tai Tuivasa,1,110,0,0,Heavyweight,KO/TKO,3,4:23
UFC Fight Night: Gane vs. Tuivasa,,Robert Whittaker,Marvin Vettori,0,74,1,0,Middleweight,U-DEC,3,5:00
UFC Fight Night: Gane vs. Tuivasa,,Nassourdine Imavov,Joaquin Buckley,0,51,2,2,Middleweight,U-DEC,3,5:00
UFC Fight Night: Gane vs. Tuivasa,,Roman Kopylov,Alessio Di Chirico,1,59,0,0,Middleweight,KO/TKO,3,1:09
UFC Fight Night: Gane vs. Tuivasa,,William Gomis,Jarno Errens,0,32,3,0,Featherweight,U-DEC,3,5:00
UFC Fight Night: Gane vs. Tuivasa,,Nathaniel Wood,Charles Jourdain,0,97,5,0,Featherweight,U-DEC,3,5:00
UFC Fight Night: Dern vs. Yan,,,,,,,,,,,
UFC Fight Night: Dern vs. Yan,,Yan Xiaonan,Mackenzie Dern,0,113,0,0,Women's Strawweight,M-DEC,5,5:00
UFC Fight Night: Dern vs. Yan,,Randy Brown,Francisco Trinaldo,1,60,0,1,Welterweight,U-DEC,3,5:00
