,Event,Date,Fighter 1,Fighter 2,Fighter 1 Odds,Fighter 2 Odds
1691,UFC 133: Evans vs. Ortiz 2,Aug 2011,Mike Pyle,Rory Macdonald,100.0,-140.0
1694,UFC 133: Evans vs. Ortiz 2,Aug 2011,Paul Bradley,Rafael Natal,-105.0,-125.0
1696,UFC 133: Evans vs. Ortiz 2,Aug 2011,Rashad Evans,Tito Ortiz,-450.0,330.0
1697,UFC 133: Evans vs. Ortiz 2,Aug 2011,Vitor Belfort,Yoshihiro Akiyama,-265.0,225.0
1698,UFC Fight Night 92: Rodriguez vs. Caceres,Aug 2016,Alex Caceres,Yair Rodriguez,250.0,-350.0
1699,UFC Fight Night 92: Rodriguez vs. Caceres,Aug 2016,Chase Sherman,Justin Ledet,130.0,-170.0
1700,UFC Fight Night 92: Rodriguez vs. Caceres,Aug 2016,Chris Camozzi,Thales Leites,190.0,-270.0
1701,UFC Fight Night 92: Rodriguez vs. Caceres,Aug 2016,Court McGee,Dominique Steele,-245.0,175.0
1702,UFC Fight Night 92: Rodriguez vs. Caceres,Aug 2016,Cub Swanson,Tatsuya Kawajiri,-245.0,175.0
1703,UFC Fight Night 92: Rodriguez vs. Caceres,Aug 2016,Danielle Taylor,Maryna Moroz,200.0,-280.0
1704,UFC Fight Night 92: Rodriguez vs. Caceres,Aug 2016,David Teymur,Jason Novelli,-105.0,-135.0
1705,UFC Fight Night 92: Rodriguez vs. Caceres,Aug 2016,Dennis Bermudez,Rony Jason,-230.0,170.0
1707,UFC Fight Night 92: Rodriguez vs. Caceres,Aug 2016,Horacio Gutierrez,Teruto Ishihara,180.0,-260.0
1709,UFC Fight Night 92: Rodriguez vs. Caceres,Aug 2016,Joseph Gigliotti,Trevor Smith,-155.0,115.0
1711,UFC Fight Night 92: Rodriguez vs. Caceres,Aug 2016,Marcin Tybura,Viktor Pesta,-145.0,105.0
1714,UFC Fight Night 92: Rodriguez vs. Caceres,Aug 2016,Santiago Ponzinibbio,Zak Cummings,-175.0,135.0
1722,UFC on ESPN: Santos vs. Hill,Aug 2022,Augusto Sakai,Serghei Spivac,170.0,-200.0
1723,UFC on ESPN: Santos vs. Hill,Aug 2022,Brogan Walker,Juliana Miller,-160.0,140.0
1724,UFC on ESPN: Santos vs. Hill,Aug 2022,Bryan Battle,Takashi Sato,-200.0,170.0
1725,UFC on ESPN: Santos vs. Hill,Aug 2022,Cory McKenna,Miranda Granger,-210.0,180.0
1726,UFC on ESPN: Santos vs. Hill,Aug 2022,Erick Gonzalez,Terrance McKinney,300.0,-400.0
1727,UFC on ESPN: Santos vs. Hill,Aug 2022,Jamahal Hill,Thiago Santos,-250.0,210.0
1730,UFC on ESPN: Santos vs. Hill,Aug 2022,Juliana Miller,Brogan Walker-Sanchez,-135.0,110.0
1731,UFC on ESPN: Santos vs. Hill,Aug 2022,Mayra Bueno Silva,Stephanie Egger,-130.0,110.0
1733,UFC on ESPN: Santos vs. Hill,Aug 2022,Misha Cirkunov,Shamil Gamzatov,145.0,-175.0
1734,UFC on ESPN: Santos vs. Hill,Aug 2022,Mohammed Usman,Zac Pauga,170.0,-200.0
1735,UFC on ESPN: Santos vs. Hill,Aug 2022,Nate Landwehr,Zubaira Tukhugov,175.0,-225.0
1737,UFC on ESPN: Santos vs. Hill,Aug 2022,Sam Alvey,Michar Oleksiejczuk,270.0,-330.0
1743,UFC on ESPN: Santos vs. Hill,Aug 2022,Vicente Luque,Geoffrey Neal,-175.0,150.0
1746,UFC,Aug 2023,Aleksa Camur,Tanner Boser,150.0,-175.0
1747,UFC,Aug 2023,Cory Sandhagen,Rob Font,-333.0,250.0
1748,UFC,Aug 2023,Diego Lopes,Gavin Tucker,-125.0,100.0
1749,UFC,Aug 2023,Dustin Jacoby,Kennedy Nzechukwu,100.0,-125.0
1751,UFC,Aug 2023,Ignacio Bahamondes,Rudovit Klein,-175.0,150.0
1752,UFC,Aug 2023,Jeremiah Wells,Carlston Harris,-188.0,150.0
1753,UFC,Aug 2023,Jessica Andrade,Tatiana Suarez,350.0,-450.0
1755,UFC,Aug 2023,Kyler Phillips,Raoni Barcelos,-170.0,140.0
1758,UFC 117: Silva vs. Sonnen,Aug 2010,Anderson Silva,Chael Sonnen,-375.0,285.0
1759,UFC 117: Silva vs. Sonnen,Aug 2010,Ben Saunders,Dennis Hallman,-170.0,130.0
1761,UFC 117: Silva vs. Sonnen,Aug 2010,Charlie Brenneman,Johny Hendricks,400.0,-550.0
1762,UFC 117: Silva vs. Sonnen,Aug 2010,Clay Guida,Rafael Dos Anjos,-120.0,-120.0
1764,UFC 117: Silva vs. Sonnen,Aug 2010,Dustin Hazelett,Rick Story,-115.0,-115.0
1766,UFC 117: Silva vs. Sonnen,Aug 2010,Jon Fitch,Thiago Alves,110.0,-140.0
1767,UFC 117: Silva vs. Sonnen,Aug 2010,Junior Dos Santos,Roy Nelson,-325.0,250.0
1768,UFC 117: Silva vs. Sonnen,Aug 2010,Matt Hughes,Ricardo Almeida,-195.0,155.0
1769,UFC 117: Silva vs. Sonnen,Aug 2010,Phil Davis,Rodney Wallace,-660.0,445.0
1775,UFC 117: Silva vs. Sonnen,Aug 2010,Stefan Struve,Christian Morecraft,-195.0,160.0
1777,UFC 117: Silva vs. Sonnen,Aug 2010,Tim Boetsch,Todd Brown,-400.0,310.0
1778,UFC 265: Lewis vs. Gane,Aug 2021,Alonzo Menifield,Ed Herman,-140.0,120.0
1779,UFC 265: Lewis vs. Gane,Aug 2021,Anderson Dos Santos,Miles Johns,170.0,-200.0
1780,UFC 265: Lewis vs. Gane,Aug 2021,Angela Hill,Tecia Torres,-120.0,100.0
1781,UFC 265: Lewis vs. Gane,Aug 2021,Casey Kenney,Song Yadong,105.0,-125.0
1782,UFC 265: Lewis vs. Gane,Aug 2021,Ciryl Gane,Derrick Lewis,-325.0,275.0
1783,UFC 265: Lewis vs. Gane,Aug 2021,Drako Rodriguez,Vince Morales,155.0,-180.0
1785,UFC 265: Lewis vs. Gane,Aug 2021,Jamey Simmons,Johnny Munoz,130.0,-150.0
1786,UFC 265: Lewis vs. Gane,Aug 2021,Jessica Penne,Karolina Kowalkiewicz,155.0,-180.0
1787,UFC 265: Lewis vs. Gane,Aug 2021,Jose Aldo,Pedro Munhoz,-138.0,115.0
1789,UFC 265: Lewis vs. Gane,Aug 2021,Manel Kape,Oder Osbourne,-200.0,170.0
1790,UFC 265: Lewis vs. Gane,Aug 2021,Michael Chiesa,Vicente Luque,140.0,-160.0
1795,UFC 265: Lewis vs. Gane,Aug 2021,Victoria Leonardo,Melissa Gatto,-110.0,-110.0
1797,UFC 101: Declaration,Aug 2009,Aaron Riley,Shane Nelson,-120.0,-120.0
1798,UFC 101: Declaration,Aug 2009,Alessio Sakara,Thales Leites,215.0,-275.0
1799,UFC 101: Declaration,Aug 2009,Amir Sadollah,Johny Hendricks,-115.0,-115.0
1800,UFC 101: Declaration,Aug 2009,Anderson Silva,Forrest Griffin,-260.0,200.0
1801,UFC 101: Declaration,Aug 2009,Dan Cramer,Matt Riddle,-150.0,110.0
1802,UFC 101: Declaration,Aug 2009,Danillo Villefort,Jesse Lennox,-215.0,170.0
1804,UFC 101: Declaration,Aug 2009,George Roop,George Sotiropoulos,280.0,-400.0
1806,UFC 101: Declaration,Aug 2009,John Howard,Tamdan McCrory,180.0,-260.0
1808,UFC 101: Declaration,Aug 2009,Josh Neer,Kurt Pellegrino,-225.0,175.0
1809,UFC 101: Declaration,Aug 2009,Kendall Grove,Ricardo Almeida,145.0,-185.0
1810,UFC 101: Declaration,Aug 2009,Kenny Florian,B.J. Penn,120.0,-150.0
1816,UFC Fight Night 73: Saint Preux vs. Teixeira,Aug 2015,Amanda Nunes,Sara McMann,185.0,-265.0
1817,UFC Fight Night 73: Saint Preux vs. Teixeira,Aug 2015,Anthony Christodoulou,Scott Holtzman,365.0,-555.0
1818,UFC Fight Night 73: Saint Preux vs. Teixeira,Aug 2015,Beneil Dariush,Michael Johnson,175.0,-245.0
1819,UFC Fight Night 73: Saint Preux vs. Teixeira,Aug 2015,Chris Camozzi,Tom Watson,-175.0,135.0
1820,UFC Fight Night 73: Saint Preux vs. Teixeira,Aug 2015,Chris Dempsey,Jonathan Wilson,150.0,-190.0
1821,UFC Fight Night 73: Saint Preux vs. Teixeira,Aug 2015,Derek Brunson,Sam Alvey,-210.0,160.0
1822,UFC Fight Night 73: Saint Preux vs. Teixeira,Aug 2015,Dustin Ortiz,Willie Gates,-350.0,250.0
1823,UFC Fight Night 73: Saint Preux vs. Teixeira,Aug 2015,Frankie Saenz,Sirwan Kakai,-130.0,-110.0
1824,UFC Fight Night 73: Saint Preux vs. Teixeira,Aug 2015,Glover Teixeira,Ovince St. Preux,-140.0,100.0
1825,UFC Fight Night 73: Saint Preux vs. Teixeira,Aug 2015,Jared Rosholt,Timothy Johnson,-230.0,170.0
1827,UFC Fight Night 73: Saint Preux vs. Teixeira,Aug 2015,Marlon Vera,Roman Salazar,-120.0,-120.0
1829,UFC Fight Night 73: Saint Preux vs. Teixeira,Aug 2015,Ray Borg,Geane Herrera,-475.0,325.0
1838,UFC on ESPN+ 32: Lewis vs. Oleinik,Aug 2020,Aleksei Oleinik,Derrick Lewis,170.0,-200.0
1839,UFC on ESPN+ 32: Lewis vs. Oleinik,Aug 2020,Andrew Sanchez,Wellington Turman,130.0,-160.0
1840,UFC on ESPN+ 32: Lewis vs. Oleinik,Aug 2020,Beneil Dariush,Scott Holtzman,-160.0,140.0
1841,UFC on ESPN+ 32: Lewis vs. Oleinik,Aug 2020,Chris Weidman,Omari Akhmedov,130.0,-150.0
1842,UFC on ESPN+ 32: Lewis vs. Oleinik,Aug 2020,Darren Stewart,Maki Pitolo,-150.0,110.0
1844,UFC on ESPN+ 32: Lewis vs. Oleinik,Aug 2020,Gavin Tucker,Justin Jaynes,-220.0,185.0
1845,UFC on ESPN+ 32: Lewis vs. Oleinik,Aug 2020,Irwin Rivera,Ali Al Qaisi,-185.0,145.0
1846,UFC on ESPN+ 32: Lewis vs. Oleinik,Aug 2020,Joaquin Buckley,Kevin Holland,235.0,-275.0
1847,UFC on ESPN+ 32: Lewis vs. Oleinik,Aug 2020,Julija Stoliarenko,Yana Kunitskaya,135.0,-175.0
1850,UFC on ESPN+ 32: Lewis vs. Oleinik,Aug 2020,Laureano Staropoli,Tim Means,-155.0,135.0
1852,UFC on ESPN+ 32: Lewis vs. Oleinik,Aug 2020,Nasrat Haqparast,Alex Munoz,-205.0,175.0
1854,UFC on ESPN+ 32: Lewis vs. Oleinik,Aug 2020,Peter Barrett,Youssef Zalal,240.0,-320.0
1859,UFC 87: Seek And Destroy,Aug 2008,Ben Saunders,Ryan Thomas,-290.0,230.0
1860,UFC 87: Seek And Destroy,Aug 2008,Brock Lesnar,Heath Herring,-250.0,190.0
1861,UFC 87: Seek And Destroy,Aug 2008,Cheick Kongo,Dan Evensen,-550.0,400.0
1862,UFC 87: Seek And Destroy,Aug 2008,Chris Wilson,Steve Bruno,-335.0,255.0
1863,UFC 87: Seek And Destroy,Aug 2008,Demian Maia,Jason Macdonald,150.0,-190.0
1865,UFC 87: Seek And Destroy,Aug 2008,Jon Fitch,Georges St-Pierre,190.0,-250.0
1866,UFC 87: Seek And Destroy,Aug 2008,Kenny Florian,Roger Huerta,-135.0,105.0
1867,UFC 87: Seek And Destroy,Aug 2008,Luke Cummo,Tamdan McCrory,-145.0,115.0
1868,UFC 87: Seek And Destroy,Aug 2008,Rob Emerson,Manny Gamburyan,210.0,-270.0
1872,UFC Fight Night 16: Fight For The Troops,Dec 2008,Ben Saunders,Brandon Wolff,-385.0,295.0
1873,UFC Fight Night 16: Fight For The Troops,Dec 2008,Brodie Farber,Luigi Fioravanti,290.0,-380.0
1874,UFC Fight Night 16: Fight For The Troops,Dec 2008,Corey Hill,Dale Hartt,-315.0,245.0
1875,UFC Fight Night 16: Fight For The Troops,Dec 2008,Eddie Sanchez,Justin McCully,-170.0,140.0
1876,UFC Fight Night 16: Fight For The Troops,Dec 2008,Jim Miller,Matt Wiman,-135.0,105.0
1877,UFC Fight Night 16: Fight For The Troops,Dec 2008,Johnny Rees,Steve Bruno,-130.0,100.0
1878,UFC Fight Night 16: Fight For The Troops,Dec 2008,Jonathan Goulet,Mike Swick,290.0,-380.0
1879,UFC Fight Night 16: Fight For The Troops,Dec 2008,Josh Koscheck,Yoshiyuki Yoshida,-240.0,180.0
1883,UFC Fight Night 16: Fight For The Troops,Dec 2008,Nate Loughran,Tim Credeur,135.0,-165.0
1885,UFC Fight Night 16: Fight For The Troops,Dec 2008,Steve Cantwell,Razak Al-Hussan,-350.0,260.0
1888,UFC 140: Jones vs. Machida,Dec 2011,Antonio Rodrigo Nogueira,Frank Mir,190.0,-270.0
1889,UFC 140: Jones vs. Machida,Dec 2011,Brian Ebersole,Claude Patrick,-260.0,180.0
1890,UFC 140: Jones vs. Machida,Dec 2011,Chan Sung Jung,Mark Hominick,200.0,-280.0
1892,UFC 140: Jones vs. Machida,Dec 2011,Constantinos Philippou,Jared Hamman,220.0,-300.0
1893,UFC 140: Jones vs. Machida,Dec 2011,Dennis Hallman,John Makdessi,-120.0,-120.0
1895,UFC 140: Jones vs. Machida,Dec 2011,Igor Pokrajac,Krzysztof Soszynski,165.0,-215.0
1896,UFC 140: Jones vs. Machida,Dec 2011,John Cholish,Mitch Clarke,-280.0,200.0
1898,UFC 140: Jones vs. Machida,Dec 2011,Jon Jones,Lyoto Machida,-400.0,280.0
1901,UFC 140: Jones vs. Machida,Dec 2011,Mark Bocek,Nik Lentz,-170.0,130.0
1904,UFC 140: Jones vs. Machida,Dec 2011,Rich Attonito,Jake Hecht,-215.0,165.0
1905,UFC 140: Jones vs. Machida,Dec 2011,Tito Ortiz,Antonio Rogerio Nogueira,135.0,-165.0
1906,UFC 140: Jones vs. Machida,Dec 2011,Walel Watson,Yves Jabouin,160.0,-210.0
1907,UFC Fight Night 80: VanZant vs. Namajunas,Dec 2015,Aljamain Sterling,Johnny Eduardo,-530.0,350.0
1908,UFC Fight Night 80: VanZant vs. Namajunas,Dec 2015,Andreas Stahl,Santiago Ponzinibbio,180.0,-260.0
1909,UFC Fight Night 80: VanZant vs. Namajunas,Dec 2015,Antonio Carlos Junior,Kevin Casey,-320.0,240.0
1910,UFC Fight Night 80: VanZant vs. Namajunas,Dec 2015,Cody Pfister,Sage Northcutt,435.0,-705.0
1911,UFC Fight Night 80: VanZant vs. Namajunas,Dec 2015,Danny Roberts,Nathan Coy,-170.0,130.0
1912,UFC Fight Night 80: VanZant vs. Namajunas,Dec 2015,Elias Theodorou,Thiago Santos,-270.0,190.0
1913,UFC Fight Night 80: VanZant vs. Namajunas,Dec 2015,Emily Kagan,Kailin Curran,220.0,-300.0
1914,UFC Fight Night 80: VanZant vs. Namajunas,Dec 2015,Jim Miller,Michael Chiesa,100.0,-140.0
1915,UFC Fight Night 80: VanZant vs. Namajunas,Dec 2015,John Howard,Tim Means,250.0,-350.0
1921,UFC Fight Night 80: VanZant vs. Namajunas,Dec 2015,Omari Akhmedov,Sergio Moraes,-125.0,-115.0
1922,UFC Fight Night 80: VanZant vs. Namajunas,Dec 2015,Phillipe Nover,Zubaira Tukhugov,150.0,-190.0
1923,UFC Fight Night 80: VanZant vs. Namajunas,Dec 2015,Rose Namajunas,Paige Vanzant,125.0,-165.0
1930,UFC 206: Holloway vs. Pettis,Dec 2016,Anthony Pettis,Max Holloway,145.0,-185.0
1931,UFC 206: Holloway vs. Pettis,Dec 2016,Cub Swanson,Doo Ho Choi,120.0,-160.0
1932,UFC 206: Holloway vs. Pettis,Dec 2016,Donald Cerrone,Matt Brown,-245.0,175.0
1933,UFC 206: Holloway vs. Pettis,Dec 2016,Drew Dober,Olivier Aubin-Mercier,155.0,-195.0
1934,UFC 206: Holloway vs. Pettis,Dec 2016,Dustin Ortiz,Zach Makovsky,165.0,-215.0
1935,UFC 206: Holloway vs. Pettis,Dec 2016,Emil Meek,Jordan Mein,100.0,-140.0
1936,UFC 206: Holloway vs. Pettis,Dec 2016,Jason Saggo,Rustam Khabilov,180.0,-260.0
1937,UFC 206: Holloway vs. Pettis,Dec 2016,John Makdessi,Lando Vannata,-110.0,-130.0
1939,UFC 206: Holloway vs. Pettis,Dec 2016,Kelvin Gastelum,Tim Kennedy,130.0,-170.0
1942,UFC 206: Holloway vs. Pettis,Dec 2016,Matthew Lopez,Mitch Gagnon,120.0,-160.0
1944,UFC 206: Holloway vs. Pettis,Dec 2016,Misha Cirkunov,Nikita Krylov,-125.0,-115.0
1949,UFC 206: Holloway vs. Pettis,Dec 2016,Valerie Letourneau,Viviane Pereira,-180.0,140.0
1951,UFC 282,Dec 2022,Alex Morono,Santiago Ponzinibbio,220.0,-260.0
1952,UFC 282,Dec 2022,Alexander Gustafsson,Ovince St. Preux,-175.0,140.0
1953,UFC 282,Dec 2022,Antonio Trocoli,Ovince St. Preux,-105.0,-115.0
1954,UFC 282,Dec 2022,Billy Quarantillo,Alexander Hernandez,-210.0,180.0
1955,UFC 282,Dec 2022,Cameron Saaiman,Ronnie Lawrence,200.0,-250.0
1956,UFC 282,Dec 2022,Cameron Saaiman,Steven Koslow,-150.0,130.0
1957,UFC 282,Dec 2022,Chris Curtis,Joaquin Buckley,105.0,-125.0
1958,UFC 282,Dec 2022,Chris Daukaus,Jairzinho Rozenstruik,140.0,-160.0
1959,UFC 282,Dec 2022,Dalcha Lungiambula,Edmen Shahbazyan,350.0,-450.0
1960,UFC 282,Dec 2022,Darren Till,Dricus Du Plessis,115.0,-135.0
1962,UFC 282,Dec 2022,Erik Silva,T.J. Brown,-225.0,190.0
1964,UFC 282,Dec 2022,Jared Gordon,Paddy Pimblett,-145.0,125.0
1965,UFC 282,Dec 2022,Jay Perrin,Raul Rosas Jr.,170.0,-200.0
1967,UFC 282,Dec 2022,Magomed Ankalaev,Jan Brachowicz,-200.0,170.0
1969,UFC 282,Dec 2022,Robbie Lawler,Santiago Ponzinibbio,300.0,-400.0
1973,UFC,Dec 2023,Andre Muniz,Jun Yong Park,205.0,-250.0
1974,UFC,Dec 2023,Anthony Smith,Khalil Rountree,200.0,-250.0
1975,UFC,Dec 2023,Carlos Hernandez,Tatsuro Taira,260.0,-325.0
1976,UFC,Dec 2023,Chris Gutierrez,Song Yadong,270.0,-340.0
1977,UFC,Dec 2023,Jamie Mullarkey,Nasrat Haqparast,154.0,-185.0
1978,UFC,Dec 2023,Kevin Jousset,Kenan Song,-170.0,142.0
1979,UFC,Dec 2023,Luana Santos,Stephanie Egger,-185.0,154.0
1980,UFC,Dec 2023,Melquizael Costa,Steve Garcia,-275.0,225.0
1982,UFC,Dec 2023,Shannon Ross,Park Hyun-Sung,275.0,-345.0
1986,UFC,Dec 2023,Talita Alencar,Rayanne Dos Santos,100.0,-120.0
1988,UFC,Dec 2023,Tim Elliott,Su Mudaerji,-180.0,150.0
1989,UFC 124: St-Pierre vs. Koscheck II,Dec 2010,Charles Oliveira,Jim Miller,-130.0,-110.0
1990,UFC 124: St-Pierre vs. Koscheck II,Dec 2010,Dan Miller,Joe Doerksen,-350.0,260.0
1991,UFC 124: St-Pierre vs. Koscheck II,Dec 2010,Dustin Hazelett,Mark Bocek,-130.0,100.0
1994,UFC 124: St-Pierre vs. Koscheck II,Dec 2010,Joe Stevenson,Mac Danzig,-295.0,235.0
1995,UFC 124: St-Pierre vs. Koscheck II,Dec 2010,John Howard,Thiago Alves,235.0,-295.0
1996,UFC 124: St-Pierre vs. Koscheck II,Dec 2010,Josh Koscheck,Georges St-Pierre,325.0,-475.0
1998,UFC 124: St-Pierre vs. Koscheck II,Dec 2010,Pat Audinwood,John Makdessi,-145.0,115.0
1999,UFC 124: St-Pierre vs. Koscheck II,Dec 2010,Rafael Natal,Jesse Bongfeldt,-155.0,125.0
2000,UFC 124: St-Pierre vs. Koscheck II,Dec 2010,Ricardo Almeida,T.J. Grant,-175.0,145.0
2001,UFC 124: St-Pierre vs. Koscheck II,Dec 2010,Sean McCorkle,Stefan Struve,180.0,-260.0
2002,UFC 124: St-Pierre vs. Koscheck II,Dec 2010,Sean Pierson,Matt Riddle,240.0,-300.0
2005,UFC: The Ultimate Fighter 22 Finale: Edgar vs. Mendes,Dec 2015,Abner Lloveras,Chris Gruetzemacher,155.0,-185.0
2006,UFC: The Ultimate Fighter 22 Finale: Edgar vs. Mendes,Dec 2015,Artem Lobov,Ryan Hall,-180.0,150.0
2007,UFC: The Ultimate Fighter 22 Finale: Edgar vs. Mendes,Dec 2015,Chad Mendes,Frankie Edgar,120.0,-150.0
2009,UFC: The Ultimate Fighter 22 Finale: Edgar vs. Mendes,Dec 2015,Edson Barboza,Tony Ferguson,-110.0,-130.0
2010,UFC: The Ultimate Fighter 22 Finale: Edgar vs. Mendes,Dec 2015,Evan Dunham,Joe Lauzon,-180.0,140.0
2012,UFC: The Ultimate Fighter 22 Finale: Edgar vs. Mendes,Dec 2015,Gabriel Gonzaga,Konstantin Erokhin,-130.0,-110.0
2013,UFC: The Ultimate Fighter 22 Finale: Edgar vs. Mendes,Dec 2015,Geane Herrera,Joby Sanchez,-120.0,-120.0
2014,UFC: The Ultimate Fighter 22 Finale: Edgar vs. Mendes,Dec 2015,Jason Knight,Tatsuya Kawajiri,185.0,-265.0
2018,UFC: The Ultimate Fighter 22 Finale: Edgar vs. Mendes,Dec 2015,Marcin Wrzosek,Julian Erosa,110.0,-140.0
2019,UFC: The Ultimate Fighter 22 Finale: Edgar vs. Mendes,Dec 2015,Mike Pierce,Ryan Laflare,-110.0,-130.0
2022,UFC 269,Dec 2021,Alex Perez,Matt Schnell,-303.0,240.0
2023,UFC 269,Dec 2021,Amanda Nunes,Julianna Pena,-800.0,500.0
2024,UFC 269,Dec 2021,Andre Muniz,Eryk Anders,-125.0,105.0
2025,UFC 269,Dec 2021,Augusto Sakai,Tai Tuivasa,-110.0,-110.0
2026,UFC 269,Dec 2021,Bruno Silva,Jordan Wright,-350.0,285.0
2027,UFC 269,Dec 2021,Charles Oliveira,Dustin Poirier,145.0,-165.0
2028,UFC 269,Dec 2021,Dan Ige,Josh Emmett,170.0,-200.0
2029,UFC 269,Dec 2021,Darrick Minner,Ryan Hall,220.0,-260.0
2030,UFC 269,Dec 2021,Dominick Cruz,Pedro Munhoz,135.0,-155.0
2032,UFC 269,Dec 2021,Erin Blanchfield,Miranda Maverick,-155.0,135.0
2034,UFC 269,Dec 2021,Geoff Neal,Santiago Ponzinibbio,-115.0,-105.0
2035,UFC 269,Dec 2021,Gillian Robertson,Priscila Cachoeira,-300.0,250.0
2037,UFC 269,Dec 2021,Jorge Masvidal,Leon Edwards,160.0,-200.0
2040,UFC 269,Dec 2021,Kai Kara France,Cody Garbrandt,105.0,-125.0
2046,UFC 269,Dec 2021,Randy Costa,Tony Kelley,-110.0,-110.0
2047,UFC 269,Dec 2021,Raulian Paiva,Sean O'Malley,270.0,-330.0
2052,UFC 107: Penn vs Sanchez,Dec 2009,Alan Belcher,Wilson Gouveia,100.0,-130.0
2053,UFC 107: Penn vs Sanchez,Dec 2009,Cheick Kongo,Frank Mir,125.0,-155.0
2054,UFC 107: Penn vs Sanchez,Dec 2009,Clay Guida,Kenny Florian,150.0,-180.0
2055,UFC 107: Penn vs Sanchez,Dec 2009,Diego Sanchez,B.J. Penn,210.0,-270.0
2056,UFC 107: Penn vs Sanchez,Dec 2009,Edgar Garcia,Damarques Johnson,-280.0,220.0
2058,UFC 107: Penn vs Sanchez,Dec 2009,Johny Hendricks,Ricardo Funch,-425.0,320.0
2059,UFC 107: Penn vs Sanchez,Dec 2009,Jon Fitch,Mike Pierce,-435.0,325.0
2061,UFC 107: Penn vs Sanchez,Dec 2009,Kevin Burns,T.J. Grant,110.0,-140.0
2062,UFC 107: Penn vs Sanchez,Dec 2009,Lucio Linhares,Rousimar Palhares,260.0,-350.0
2063,UFC 107: Penn vs Sanchez,Dec 2009,Matt Wiman,Shane Nelson,-350.0,260.0
2065,UFC 107: Penn vs Sanchez,Dec 2009,Paul Buentello,Stefan Struve,115.0,-145.0
2070,UFC: The Ultimate Fighter 20 Finale,Dec 2014,Angela Hill,Emily Kagan,-165.0,125.0
2071,UFC: The Ultimate Fighter 20 Finale,Dec 2014,Angela Magana,Tecia Torres,400.0,-600.0
2072,UFC: The Ultimate Fighter 20 Finale,Dec 2014,Bec Rawlings,Heather Clark,-270.0,190.0
2073,UFC: The Ultimate Fighter 20 Finale,Dec 2014,Carla Esparza,Rose Namajunas,-130.0,-110.0
2074,UFC: The Ultimate Fighter 20 Finale,Dec 2014,Charles Oliveira,Jeremy Stephens,-115.0,-125.0
2075,UFC: The Ultimate Fighter 20 Finale,Dec 2014,Daron Cruickshank,K.J. Noons,-165.0,125.0
2079,UFC: The Ultimate Fighter 20 Finale,Dec 2014,Jessica Penne,Randa Markos,-120.0,-120.0
2080,UFC: The Ultimate Fighter 20 Finale,Dec 2014,Joe Proctor,Yancy Medeiros,170.0,-230.0
2081,UFC: The Ultimate Fighter 20 Finale,Dec 2014,Lisa Ellis,Felice Herrig,260.0,-380.0
2085,UFC 194: Aldo vs. McGregor,Dec 2015,Chris Weidman,Luke Rockhold,-150.0,120.0
2086,UFC 194: Aldo vs. McGregor,Dec 2015,Colby Covington,Warlley Alves,-120.0,-120.0
2087,UFC 194: Aldo vs. McGregor,Dec 2015,Conor McGregor,Jose Aldo,-180.0,150.0
2088,UFC 194: Aldo vs. McGregor,Dec 2015,Court McGee,Marcio Alexandre Jr.,-175.0,135.0
2089,UFC 194: Aldo vs. McGregor,Dec 2015,Demian Maia,Gunnar Nelson,-120.0,-120.0
2090,UFC 194: Aldo vs. McGregor,Dec 2015,Frankie Saenz,Urijah Faber,335.0,-505.0
2092,UFC 194: Aldo vs. McGregor,Dec 2015,Jeremy Stephens,Max Holloway,235.0,-315.0
2093,UFC 194: Aldo vs. McGregor,Dec 2015,Joe Proctor,Magomed Mustafaev,200.0,-280.0
2094,UFC 194: Aldo vs. McGregor,Dec 2015,John Makdessi,Yancy Medeiros,-175.0,135.0
2096,UFC 194: Aldo vs. McGregor,Dec 2015,Kevin Lee,Leonardo Santos,-405.0,285.0
2103,UFC 194: Aldo vs. McGregor,Dec 2015,Yoel Romero,Ronaldo Souza,130.0,-170.0
2104,UFC 256: Figueiredo vs. Moreno,Dec 2020,Billy Quarantillo,Gavin Tucker,-140.0,120.0
2105,UFC 256: Figueiredo vs. Moreno,Dec 2020,Brandon Moreno,Deiveson Figueiredo,235.0,-275.0
2106,UFC 256: Figueiredo vs. Moreno,Dec 2020,Charles Oliveira,Tony Ferguson,110.0,-130.0
2107,UFC 256: Figueiredo vs. Moreno,Dec 2020,Chase Hooper,Peter Barrett,-300.0,250.0
2108,UFC 256: Figueiredo vs. Moreno,Dec 2020,Ciryl Gane,Junior Dos Santos,-270.0,230.0
2109,UFC 256: Figueiredo vs. Moreno,Dec 2020,Cub Swanson,Daniel Pineda,-110.0,-110.0
2112,UFC 256: Figueiredo vs. Moreno,Dec 2020,Kevin Holland,Ronaldo Souza,-175.0,135.0
2113,UFC 256: Figueiredo vs. Moreno,Dec 2020,Mackenzie Dern,Virna Jandiroba,-140.0,120.0
2115,UFC 256: Figueiredo vs. Moreno,Dec 2020,Renato Moicano,Rafael Fiziev,-105.0,-115.0
2116,UFC 256: Figueiredo vs. Moreno,Dec 2020,Sam Hughes,Tecia Torres,350.0,-450.0
2119,UFC: The Ultimate Fighter 8 Finale,Dec 2008,Anthony Johnson,Kevin Burns,-250.0,190.0
2120,UFC: The Ultimate Fighter 8 Finale,Dec 2008,Efrain Escudero,Phillipe Nover,310.0,-400.0
2121,UFC: The Ultimate Fighter 8 Finale,Dec 2008,Eliot Marshall,Jules Bruchez,-675.0,450.0
