,Event,Date,Fighter 1,Fighter 2,Fighter 1 Odds,Fighter 2 Odds
5487,UFC 132: Cruz vs. Faber,Jul 2011,George Sotiropoulos,Rafael Dos Anjos,-225.0,175.0
5489,UFC 132: Cruz vs. Faber,Jul 2011,Melvin Guillard,Shane Roller,-260.0,200.0
5491,UFC 132: Cruz vs. Faber,Jul 2011,Ryan Bader,Tito Ortiz,-360.0,270.0
5497,UFC 276: Adesanya vs. Cannonier,Jul 2022,Alex Pereira,Sean Strickland,150.0,-175.0
5498,UFC 276: Adesanya vs. Cannonier,Jul 2022,Alexander Volkanovski,Max Holloway,-146.0,124.0
5499,UFC 276: Adesanya vs. Cannonier,Jul 2022,Andre Muniz,Uriah Hall,-225.0,190.0
5500,UFC 276: Adesanya vs. Cannonier,Jul 2022,Brad Riddell,Jalin Turner,150.0,-175.0
5501,UFC 276: Adesanya vs. Cannonier,Jul 2022,Brad Tavares,Dricus Du Plessis,-130.0,110.0
5502,UFC 276: Adesanya vs. Cannonier,Jul 2022,Bryan Barberena,Robbie Lawler,-150.0,130.0
5503,UFC 276: Adesanya vs. Cannonier,Jul 2022,Donald Cerrone,Jim Miller,135.0,-155.0
5505,UFC 276: Adesanya vs. Cannonier,Jul 2022,Gabe Green,Ian Garry,150.0,-175.0
5506,UFC 276: Adesanya vs. Cannonier,Jul 2022,Israel Adesanya,Jared Cannonier,-300.0,250.0
5509,UFC 276: Adesanya vs. Cannonier,Jul 2022,Jessica Eye,Maycee Barber,135.0,-155.0
5511,UFC 276: Adesanya vs. Cannonier,Jul 2022,Julija Stoliarenko,Jessica-Rose Clark,-205.0,175.0
5516,UFC 276: Adesanya vs. Cannonier,Jul 2022,Pedro Munhoz,Sean O'Malley,210.0,-250.0
5520,UFC Fight Night,Jul 2023,Damir Ismagulov,Grant Dawson,-163.0,120.0
5521,UFC Fight Night,Jul 2023,Max Griffin,Michael Morales,163.0,-225.0
5522,UFC Fight Night,Jul 2023,Melissa Gatto,Ariane Lipski,-175.0,130.0
5524,UFC Fight Night,Jul 2023,Sean Strickland,Abusupiyan Magomedov,-175.0,150.0
5525,UFC 201: Lawler vs. Woodley,Jul 2016,Anthony Hamilton,Damian Grabowski,-110.0,-130.0
5526,UFC 201: Lawler vs. Woodley,Jul 2016,Bojan Velickovic,Michael Graves,135.0,-175.0
5527,UFC 201: Lawler vs. Woodley,Jul 2016,Cesar Arzamendia,Damien Brown,-110.0,-130.0
5530,UFC 201: Lawler vs. Woodley,Jul 2016,Ed Herman,Nikita Krylov,160.0,-210.0
